 No.,Order,VR quality,Code 2,Code 3,Code name,Comment,
380,VRQ_2,Interface was user friendly,1.4,1.4.8,User-friendliness,,
106,VRQ_3,"I like the flexability of viewpoints, at areas of interest",1.5,1.4.9,Flexability ,,
189,VRQ_8,It's flexible and adaptable. Everyone will have a different viewing experience that suits their needs.,1.6,1.4.9,Flexability ,,
12,VRQ_4,many choices,Unclear,1.5.1,Variety of options,?,
1,VRQ_4,The site features great interactive tools,1.5,1.5.1,Variety of options,,
7,VRQ_3,Lots of tools,1.5,1.5.1,Variety of tools,,
21,VRQ_2,There were many things to click on/look at,1.7,1.5.1,Variety of options,,
26,VRQ_2,Options for exploration,1.5,1.5.1,Variety of options,,
58,VRQ_3,I think this looks polished and I like being able to switch between so many different viewpoints. as well as suggested locations,1.5,1.5.1,Variety of options,,
58,VRQ_1,there are a lot of features to explore in this!,1.6,1.5.1,Variety of options,,
61,VRQ_4,Able to wander around to a lot of locations within the attractions,1.5,1.5.1,Variety of options,,
117,VRQ_2,Lots of options to use,1.5,1.5.1,Variety of options,,
132,VRQ_3,Variety of photos,1.7,1.5.1,Variety of photos,,
164,VRQ_3,There are a lot of options,1.5,1.5.1,Variety of options,,
256,VRQ_3,There was a lot of luxury on display,1.7,1.5.1,Variety of options,,
284,VRQ_2,The number of interaction spots available to explore,1.5,1.5.1,Variety of options,,
329,VRQ_1,I like the amount of buttons,1.5,1.5.1,Variety of options,,
335,VRQ_1,Many different options to explore dubai,1.5,1.5.1,Variety of options,,
359,VRQ_2,I was able to see attraction options to choose from,1.5,1.5.1,Variety of options,,
76,VRQ_2,It looks like Venice at night,Destination Quality,1.5.11,Night view,?,
9,VRQ_2,I liked seeing the sites at night,2.3,1.5.11,Night view,,
94,VRQ_2,I liked the highlights spots indicating you could click on them,1.5,1.5.12,Tabs to show highlights,,
109,VRQ_3,seeing the highlights of this country makes me want to visit there.,1.7,1.5.12,Tabs to show highlights,,
158,VRQ_3,Different times of day were good too.,1.5,1.5.12,Time lapse videos,,
169,VRQ_3,pin pointed specific recommended spots,1.5,1.5.12,Tabs to show highlights,,
222,VRQ_4,Tabs to show specific highlights,1.5,1.5.12,Tabs to show highlights,,
230,VRQ_3,I enjoy being able to click on popular destinations.,1.5,1.5.12,Tabs to show highlights,,
239,VRQ_3,Easy to see all the highlights,1.4,1.5.12,Tabs to show highlights,,
245,VRQ_2,Highlighted important locations,1.5,1.5.12,Tabs to show highlights,,
264,VRQ_2,Good markers for points of interest,1.5,1.5.12,Tabs to show highlights,,
302,VRQ_1,Showed highlights,1.5,1.5.12,Tabs to show highlights,,
329,VRQ_2,I like that the buttons highlighted so many different landmarks,1.5,1.5.12,Tabs to show highlights,,
22,VRQ_2,I like the floating things to show information,1.5,1.5.13,Helpful information tab,,
50,VRQ_3,"I like that each scene has an information tab that gives you information about what it is, like the reason why it was built.",1.5,1.5.13,Helpful information tab,,
88,VRQ_4,i liked the information tab as it gave helpful information,1.5,1.5.13,Helpful information tab,,
237,VRQ_3,good descriptions,1.5,1.5.13,Helpful information tab,,
272,VRQ_2,I like that there are information spots,1.5,1.5.13,Helpful information tab,,
246,VRQ_1,It's cool that I can click on different spots.,1.5,1.5.14,Ability to click on destination labels,cool,
13,VRQ_1,I liked the ability to click on icons for more information,1.5,1.5.14,Ability to click on destination labels,,
40,VRQ_2,It's nice that there are tags/a key marking the area,1.5,1.5.14,Ability to click on destination labels,,
41,VRQ_3,Being able to click on landmarks and get info,1.5,1.5.14,Ability to click on destination labels,,
49,VRQ_2,Had a lot of different clickable spots in each destination,1.5,1.5.14,Ability to click on destination labels,,
97,VRQ_3,Having landmarks noted helped draw the eye,1.5,1.5.14,Ability to click on destination labels,,
106,VRQ_2,I like all the icons leading to points of interest,1.5,1.5.14,Ability to click on destination labels,,
141,VRQ_2,dream jump has a video i can click and look at the experience,1.5,1.5.14,Ability to click on destination labels,,
147,VRQ_5,My favorite and most interesting was being able to click on attractions for greater detail,1.5,1.5.14,Ability to click on destination labels,,
150,VRQ_1,The icons made it feel like I could select items to find out more information.,1.5,1.5.14,Ability to click on destination labels,,
162,VRQ_1,I enjoyed how there were tags to mark what type of location the place is and gives you the information.,1.5,1.5.14,Ability to click on destination labels,,
193,VRQ_5,glad it had clickable icons to see different kinds of places,1.5,1.5.14,Ability to click on destination labels,,
202,VRQ_3,Helpful labels,1.5,1.5.14,Ability to click on destination labels,,
254,VRQ_1,The landmarks were well marked,1.5,1.5.14,Ability to click on destination labels,,
265,VRQ_2,Having icons to click for different attractions made it easy to jump around.,1.5,1.5.14,Ability to click on destination labels,,
288,VRQ_2,Clear labels for different locations.,1.5,1.5.14,Ability to click on destination labels,,
289,VRQ_6,The color coding of the various aspects of the tour would make it easy to distinguish things from a distance.,1.5,1.5.14,Ability to click on destination labels,,
298,VRQ_2,Clicking the attractions and going there was nice.,1.5,1.5.14,Ability to click on destination labels,,
298,VRQ_3,"The explore button was very handy, making it easier to find locations.",1.5,1.5.14,Ability to click on destination labels,,
337,VRQ_3,I enjoyed seeing landmarks while im in the air,1.5,1.5.14,Ability to click on destination labels,,
358,VRQ_2,Lots of information bubbles,1.5,1.5.14,Ability to click on destination labels,,
380,VRQ_3,A lot of options for places to explore,1.5,1.5.14,Ability to click on destination labels,,
311,VRQ_2,It’s cool you can click around,1.5,1.5.15,Ability to move around,Cool,
31,VRQ_4,I like being able to use my mouse and arrow keys.,1.5,1.5.15,Ability to move around,,
164,VRQ_4,I like being able to click and go straight to a location,1.5,1.5.15,Ability to move around,,
222,VRQ_2,Better than a picture because it moved around,1.5,1.5.15,Ability to move around,,
282,VRQ_1,Way points to navigate to,1.5,1.5.15,Ability to move around,,
356,VRQ_2,I like that you can use the keyboard to look around,1.5,1.5.15,Ability to move around,,
371,VRQ_3,Freedom of looking around using Virtual Reality,1.5,1.5.15,Ability to move around,,
161,VRQ_2,The fact I could move the camera around during the timelapse is blowing my mind!,1.5,1.5.16,Ability to change the views,,
199,VRQ_3,interesting how the camera was moving  on the video,,1.5.16,Ability to change the views,,
298,VRQ_1,Its really nice being able to move around 360.,1.5,1.5.16,Ability to change the views,,
54,VRQ_1,I could see how it could feel like I could control my tour,1.5,1.5.17,Ability to control,,
258,VRQ_3,It seems to offer many controls and possibilities to look at Dubai as compared to just looking at photos online before traveling,1.5,1.5.17,Ability to control,,
372,VRQ_2,I can choose what I want to see,1.5,1.5.17,Ability to control,,
65,VRQ_2,The actual the recordings of events you could do like skydiving.,1.5,1.5.18,Ability to watch videos,,
112,VRQ_6,"Awesome, you can watch clips!",1.5,1.5.18,Ability to watch videos,,
147,VRQ_1,I liked the time lapse video of the city showing it at different times of the day,1.5,1.5.18,Ability to watch videos,,
352,VRQ_3,"I loved how deep it was, particularly with the time lapse videos",1.5,1.5.18,Ability to watch videos,,
375,VRQ_1,i liked time lapse,1.5,1.5.18,Ability to watch videos,,
196,VRQ_1,I liked being able to search for specific destinations,1.5,1.5.19,Ability to search,,
331,VRQ_1,I appreciated the search feature.,1.5,1.5.19,Ability to search,,
65,VRQ_1,I thought the different viewing options where amazing!!,1.5,1.5.2,Variety of views,Impressive experience,
111,VRQ_2,I like that one feature where you're above the city and it shows a day to night cycle.,1.5,1.5.2,Variety of views,Night view,
119,VRQ_3,It showed the beauty of Dubai in both the daytime and nighttime.,1.5,1.5.2,Variety of views,Night view,
137,VRQ_3,day/night view,1.5,1.5.2,Variety of views,Night view,
20,VRQ_2,I like the variety of views available,1.5,1.5.2,Variety of views,,
24,VRQ_3,Good variety of views,1.5,1.5.2,Variety of views,,
40,VRQ_3,I can see things from a different perspective than I could in person,1.5,1.5.2,Variety of views,,
50,VRQ_2,I like the different view options. The little planet view was very interesting.,1.5,1.5.2,Variety of views,,
88,VRQ_3,i liked how you can go inside and outside,1.5,1.5.2,Variety of views,,
140,VRQ_3,Scenic from every location,2.1,1.5.2,Variety of views,,
148,VRQ_3,A lot of options for different viewing modes,1.5,1.5.2,Variety of views,,
150,VRQ_2,The video showed both indoor and outdoor views.,1.5,1.5.2,Variety of views,,
158,VRQ_2,Different views were helpful.,1.5,1.5.2,Variety of views,,
177,VRQ_2,Great variety of views,1.5,1.5.2,Variety of views,,
193,VRQ_3,Liked being able to see interior and outer spots,1.5,1.5.2,Variety of views,,
208,VRQ_2,I liked how the camera would move and show all angles,1.5,1.5.2,Variety of views,,
218,VRQ_1,There were a lot of options to look at,1.5,1.5.2,Variety of views,,
226,VRQ_2,there were a wide variety of shots,1.5,1.5.2,Variety of views,,
234,VRQ_2,It gave a full view of each place,1.5,1.5.2,Variety of views,,
262,VRQ_2,It was better than viewing still pictures,1.5,1.5.2,Variety of views,,
263,VRQ_1,Sneak peak of mutiple vistas!,1.5,1.5.2,Variety of views,,
264,VRQ_1,Nice camera levels,1.5,1.5.2,Variety of views,,
282,VRQ_3,Good view points,1.5,1.5.2,Variety of views,,
293,VRQ_3,A variety of scenes were presented,1.7,1.5.2,Variety of views,,
300,VRQ_2,I liked being able to shift the perspective.,1.5,1.5.2,Variety of views,,
301,VRQ_1,I liked that it showed different attraction points.,1.3,1.5.2,Variety of views,,
330,VRQ_1,"It's nice to be able to see a wide, full shot of a location",1.5,1.5.2,Variety of views,,
370,VRQ_2,it gives you different perspectives of each spot,1.5,1.5.2,Variety of views,,
371,VRQ_1,Some places had videos to play,1.5,1.5.2,Video feature,,
373,VRQ_2,HOLLISTIC VIEW OF THE TOWN,2.1,1.5.2,Variety of views,,
380,VRQ_4,"Various types of media (still pictures, time lapse, etc)",1.5,1.5.2,Variety of views,,
48,VRQ_1,Liked the videos in 360,1.5,1.5.22,360-degree view,360-degree view,
90,VRQ_2,I liked the ability to rotate 360 degrees in all images,1.5,1.5.22,360 degree view,360-degree view,
97,VRQ_1,I liked the panoramic panning,1.5,1.5.22,360-degree view,360-degree view,
203,VRQ_1,360 degree view,1.5,1.5.22,360 degree view,360-degree view,
222,VRQ_3,See a 360 view,1.5,1.5.22,360 degree view,360-degree view,
313,VRQ_2,I like that there is a 360 view of everything,1.5,1.5.22,360-degree view,360-degree view,
347,VRQ_1,Good features (360 view),1.5,1.5.22,360-degree view,360-degree view,
193,VRQ_4,really enjoyed the tour mode option,1.5,1.5.23,Tour mode option,,
269,VRQ_3,Enjoyed how there was automatic tours,1.5,1.5.23,Tour mode option,,
147,VRQ_4,The zoom feature worked well to examine areas of interest more in detail,1.5,1.5.24,Zoom function,,
149,VRQ_3,I wanted to zoom in a lot.,1.5,1.5.24,Zoom function,,
189,VRQ_2,You could click and zoom in on items you wanted more information on.,1.5,1.5.24,Zoom function,,
347,VRQ_2,Zoom function was helpful to read signs,1.5,1.5.24,Zoom function,,
10,VRQ_3,Amazing views,2.1,1.5.25,High quality view (Overall),Impressive experience,
352,VRQ_1,The view was amazing,2.1,1.5.25,High quality view (Overall),Impressive experience,
57,VRQ_3,it was shot from great angles,2.1,1.5.25,High quality view (Overall),,
73,VRQ_2,It provide a great visual view of the city itself,2.1,1.5.25,High quality view (Overall),,
75,VRQ_1,View was good,2.1,1.5.25,High quality view (Overall),,
118,VRQ_1,It showed the sights nicely,2.1,1.5.25,High quality view (Overall),,
198,VRQ_1,the angles were nice,2.1,1.5.25,High quality view (Overall),,
199,VRQ_2,good views,2.1,1.5.25,High quality view (Overall),,
225,VRQ_2,have a good view,2.1,1.5.25,High quality view (Overall),,
90,VRQ_3,I liked the ability to see birds eye viewpoints,1.5,1.5.26,Birds-eye viewpoints,,
132,VRQ_1,Interesting location photos,,1.5.26,Other function availability,?,
141,VRQ_3,i like the ability to look at english translations,1.5,1.5.26,Other function availability-English translation,,
271,VRQ_3,it seemed 3 dimensional instead of just looking at an image on the screen,1.5,1.5.26,Other function availability-3D inforamtion,,
322,VRQ_2,There was interesting information available,1.3,1.5.26,Other function availability,?,
359,VRQ_3,I liked that you can see what it looks like in that city at current times.,1.5,1.5.26,Other function availability-Real-time view,,
233,VRQ_4,All buttons seem to work as intended.,1.5,1.5.4,Accurate functions,,
350,VRQ_3,I can see clear labels delineating the type of establishment I am viewing.,1.5,1.5.4,Accurate functions,,
189,VRQ_1,I like that it's like a full panoramic view.,1.5,1.5.6,Panoramic viewpoints,,
335,VRQ_2,I like the zoom feature and the panoramic view of the city,1.5,1.5.6,Panoramic viewpoints,Zoom function,
3,VRQ_2,Panoramic viewpoints,1.5,1.5.6,Panoramic viewpoints,Panoramic viewpoints,
61,VRQ_2,Extensive views of the areas,1.5,1.5.6,Panoramic viewpoints,Panoramic viewpoints,
304,VRQ_6,everything looked spacious,2.1,1.5.6,Panoramic viewpoints,Panoramic viewpoints,
250,VRQ_1,It was cool seeing the view from the top of the buildings,1.5,1.5.7,Aerial viewpoints,cool,
171,VRQ_2,The view afforded by drones was impressive.,2.1,1.5.7,Aerial viewpoints,Impressive experience,
360,VRQ_3,Watching timelapses from rooftops,1.5,1.5.7,Aerial viewpoints,Time lapse videos,
41,VRQ_2,Aerial shots are nice,1.5,1.5.7,Aerial viewpoints,,
44,VRQ_3,the aerial view of the city was breathtaking,2.1,1.5.7,Aerial viewpoints,2.1.2,2.1.2
124,VRQ_1,The fly over gave the scale and breath of the city,1.5,1.5.7,Aerial viewpoints,,
193,VRQ_2,Enjoyed areal views especially,"1,5",1.5.7,Aerial viewpoints,,
218,VRQ_2,I liked the aerial views,1.5,1.5.7,Aerial viewpoints,,
269,VRQ_2,Loved the head level photos,2.2,1.5.7,Aerial viewpoints,,
298,VRQ_4,The hub mode to easily go back to the helicopter view was nice.,1.5,1.5.7,Aerial viewpoints,,
328,VRQ_2,Liked being able to see sky views,1.5,1.5.7,Aerial viewpoints,,
359,VRQ_1,I liked how you can view the hotel view from high up in the air.,1.5,1.5.7,Aerial viewpoints,,
65,VRQ_3,The Atlantis Hotel with all of the rooms and private viewing of the rooms or building.,Destination Quality,1.5.8,Inside-building viewpoints,?,
379,VRQ_2,"I found the interiors interesting, it was fun to see inside buildings I'll never visit",Destination Quality,1.5.8,Inside-building viewpoints,?,
137,VRQ_2,inside view,Not included,1.5.8,Inside-building viewpoints,?,
48,VRQ_2,Inside of the mall your cool,Unclear,1.5.8,Inside-building viewpoints,Cool?,
211,VRQ_3,The inside of the building showed amazing architecture.,1.5,1.5.8,Inside-building viewpoints,Impressive experience,
44,VRQ_1,I really like how they show they inside lobbies of hotels and other buildings,1.5,1.5.8,Inside-building viewpoints,,
328,VRQ_3,Liked being able to see inside some buildings,1.5,1.5.8,Inside-building viewpoints,,
360,VRQ_2,Being able to see inside the buildings,1.5,1.5.8,Inside-building viewpoints,,
388,VRQ_3,I appreciate that the tour actually went into buildings.,1.5,1.5.8,Inside-building viewpoints,,
44,VRQ_2,love to see the street view of buildings,1.5,1.5.9,Street viewpoints,,
70,VRQ_3,Street view allowed a good look into what the society looks like if I were to visit,1.5,1.5.9,Street viewpoints,,
160,VRQ_1,It gave me street views of the location.,1.5,1.5.9,Street viewpoints,,
55,VRQ_3,new,1.6,1.6.1,Up to date technology,,
154,VRQ_3,Up to date,1.6,1.6.1,Up to date technology,,
174,VRQ_3,new to me,1.6,1.6.1,Up to date technology,,
304,VRQ_8,everything looked up to date,1.6,1.6.1,Up to date technology,,
304,VRQ_9,everything looked very new,1.6,1.6.1,Up to date technology,,
355,VRQ_5,new,1.6,1.6.1,Up to date technology,,
376,VRQ_3,Futuristic,1.6,1.6.1,Up to date technology,,
49,VRQ_1,Comprehensive,Unclear,1.6.2,Sofisticated design,?,
206,VRQ_2,Comprehensive,Unclear,1.6.2,Sofisticated design,?,
243,VRQ_3,It played fully.,Unclear,1.6.2,Sofisticated design,?,
163,VRQ_3,I enjoyed how professional the tour was and how well it was set up,1.5,1.6.2,Sofisticated design,,
173,VRQ_2,The scenes were amazingly put together,1.6,1.6.2,Sofisticated design,,
233,VRQ_3,The site looks polished and finished.,1.6,1.6.2,Sofisticated design,,
22,VRQ_3,I thought they picked really good places to show,1.8,1.8.1,High-quality destination Content preparation,,
219,VRQ_2,Selected images were nice,1.8,1.8.1,High-quality destination Content preparation,,
228,VRQ_2,The pictures they picked for the venues were nice,1.8,1.8.1,High-quality destination Content preparation,,
280,VRQ_3,Captures the beauty of Dubai,1.8,1.8.1,High-quality destination Content preparation,,
33,VRQ_2,good colors,2.1,2.1.1,Color palette ,,
72,VRQ_4,The colors were vibrant.,2.1,2.1.1,Color palette ,,
98,VRQ_3,Colorful,2.1,2.1.1,Color palette ,,
146,VRQ_4,Colorful,2.1,2.1.1,Color palette ,,
171,VRQ_4,The colors were vibrant and clear. Good cameras.,2.1,2.1.1,Color palette ,,
186,VRQ_2,Love the pop of color,2.1,2.1.1,Color palette ,,
199,VRQ_1,colorful pictures,2.1,2.1.1,Color palette ,,
240,VRQ_2,It had some colorful images of the waterfront hotel,2.1,2.1.1,Color palette ,,
329,VRQ_3,I loved that the colors were nice and bright,2.1,2.1.1,Color palette ,,
332,VRQ_5,Colorful,2.1,2.1.1,Color palette ,,
161,VRQ_1,The gigapixels from the Burj Khalifa were incredible. The detail on the whole panorama was amazing!,2.2,2.1.10,Detailed description,Impressive experience,
21,VRQ_3,Very detailed,2.2,2.1.10,Detailed description,,
28,VRQ_3,The ability to see things in detail that I will never see in person,,2.1.10,Detailed description,,
32,VRQ_3,lots of detail,2.2,2.1.10,Detailed description,,
112,VRQ_10,I love the attention to detail,2.2,2.1.10,Detailed description,,
123,VRQ_1,it is really detailed,2.2,2.1.10,Detailed description,,
127,VRQ_2,The images were very detailed,2.2,2.1.10,Detailed description,,
148,VRQ_1,Very detailed 360 degree photos,2.2,2.1.10,Detailed description,,
167,VRQ_2,The VR was highly detailed,2.2,2.1.10,Detailed description,,
168,VRQ_1,Really detailed,2.2,2.1.10,Detailed description,,
202,VRQ_4,detailed description,2.2,2.1.10,Detailed description,,
226,VRQ_3,you got to see a lot of things in detail,2.2,2.1.10,Detailed description,,
249,VRQ_2,I was not expecting such detail and so many options,2.2,2.1.10,Detailed description,,
249,VRQ_5,This is very detailed.,2.2,2.1.10,Detailed description,,
269,VRQ_1,Very detailed imagery,2.2,2.1.10,Detailed description,,
280,VRQ_1,Very detailed,2.2,2.1.10,Detailed description,,
305,VRQ_1,Detailed,2.2,2.1.10,Detailed description,,
315,VRQ_1,Very detailed,2.2,2.1.10,Detailed description,,
366,VRQ_3,very detailed,2.2,2.1.10,Detailed description,,
96,VRQ_1,ultra vivid images,2.2,2.1.11,Vividness,,
253,VRQ_1,Vivid,2.1,2.1.11,Vividness,,
251,VRQ_2,bright,Unclear,2.1.12,Lighting ,?,
5,VRQ_2,bright,2.1,2.1.12,Lighting,,
8,VRQ_4,Lots of sunlight,Destination Quality,2.1.12,Lighting ,,
217,VRQ_2,I liked the lighting.,2.1,2.1.12,Lighting ,,
15,VRQ_2,It gave great visuals,2.1,2.1.2,Beauty (Overall),?,
35,VRQ_2,Allows me to see the beauty,,2.1.2,Beauty (Overall),?,
10,VRQ_2,It's beautiful,2.1,2.1.2,Beauty (Overall),,
30,VRQ_1,Visually compelling,2.1,2.1.2,Beauty (Overall),,
32,VRQ_1,very beautiful view,2.1,2.1.2,Beauty (Overall),,
36,VRQ_3,get a real good visual,2.1,2.1.2,Beauty (Overall),,
38,VRQ_3,Beautiful!,2.1,2.1.2,Beauty (Overall),,
45,VRQ_1,This was very beautiful,2.1,2.1.2,Beauty (Overall),,
53,VRQ_1,Beautiful,2.1,2.1.2,Beauty (Overall),,
66,VRQ_3,looks very pretty,2.1,2.1.2,Beauty (Overall),,
72,VRQ_3,It was visually appealing.,2.1,2.1.2,Beauty (Overall),,
83,VRQ_2,Great visual perspectives,2.1,2.1.2,Beauty (Overall),,
85,VRQ_1,Glamorous,2.1,2.1.2,Beauty (Overall),,
98,VRQ_1,Beautiful,2.1,2.1.2,Beauty (Overall),,
101,VRQ_1,pretty visuals,2.1,2.1.2,Beauty (Overall),,
104,VRQ_2,How incredibly beautiful it looked,2.1,2.1.2,Beauty (Overall),,
112,VRQ_2,It looks so good.,2.1,2.1.2,Beauty (Overall),,
134,VRQ_3,Beautiful,2.1,2.1.2,Beauty (Overall),,
135,VRQ_1,Very beautiful,2.1,2.1.2,Beauty (Overall),,
141,VRQ_4,it looks stunning,2.1,2.1.2,Beauty (Overall),,
146,VRQ_5,Pretty,2.1,2.1.2,Beauty (Overall),,
166,VRQ_3,Breathtaking,2.1,2.1.2,Beauty (Overall),,
175,VRQ_1,pretty,2.1,2.1.2,Beauty (Overall),,
175,VRQ_2,visually pleasing,2.1,2.1.2,Beauty (Overall),,
192,VRQ_4,beautiful,2.1,2.1.2,Beauty (Overall),,
206,VRQ_4,Good looking,2.1,2.1.2,Beauty (Overall),,
210,VRQ_1,Great view,2.1,2.1.2,Beauty (Overall),,
216,VRQ_1,Beauty,2.1,2.1.2,Beauty (Overall),,
220,VRQ_1,Beautiful,2.1,2.1.2,Beauty (Overall),,
226,VRQ_1,the visuals were very attractive,2.1,2.1.2,Beauty (Overall),,
232,VRQ_1,It was pretty,2.1,2.1.2,Beauty (Overall),,
239,VRQ_1,it was very pretty,2.1,2.1.2,Beauty (Overall),,
253,VRQ_3,Attractive,2.1,2.1.2,Beauty (Overall),,
274,VRQ_1,Beautiful,2.1,2.1.2,Beauty (Overall),,
296,VRQ_1,wow this is pretty,2.1,2.1.2,Beauty (Overall),,
299,VRQ_1,Scenic,2.1,2.1.2,Beauty (Overall),,
306,VRQ_2,Its beautiful,2.1,2.1.2,Beauty (Overall),,
311,VRQ_1,It’s very pretty,2.1,2.1.2,Beauty (Overall),,
323,VRQ_1,Beautiful,2.1,2.1.2,Beauty (Overall),,
332,VRQ_1,beautiful,2.1,2.1.2,Beauty (Overall),,
334,VRQ_1,Pretty,2.1,2.1.2,Beauty (Overall),,
336,VRQ_2,Visually appealing,2.1,2.1.2,Beauty (Overall),,
340,VRQ_1,This is beautiful,2.1,2.1.2,Beauty (Overall),,
343,VRQ_1,Beautiful,2.1,2.1.2,Beauty (Overall),,
377,VRQ_1,Beautiful,2.1,2.1.2,Beauty (Overall),,
12,VRQ_5,beautiful  buildings,2.1,2.1.3,Building beauty,,
140,VRQ_1,The vast amount of beautiful buildings,2.1,2.1.3,Building beauty,,
79,VRQ_2,the ocean,Unclear,2.1.4,Water beauty,?,
45,VRQ_4,The water was stunning,2.1,2.1.4,Water beauty,,
59,VRQ_2,Beautiful surrounding waters,2.1,2.1.4,Water beauty,,
4,VRQ_2,pretty ocean view,Destination Quality,2.1.5,Viewpoint beauty ,?,
324,VRQ_3,the vista was beautiful,2.1,2.1.5,Viewpoint beauty ,High quality view (Overall),
185,VRQ_1,how beautiful it was at night,2.1,2.1.5,Viewpoint beauty ,Night view,
1,VRQ_3,The sites were beautiful,2.1,2.1.5,Viewpoint beauty ,,
3,VRQ_1,Nice viewpoints of some desirable areas,2.1,2.1.5,Viewpoint beauty ,,
94,VRQ_1,The scenery was beautiful I liked the high view,2.1,2.1.5,Viewpoint beauty ,,
188,VRQ_2,stunning views,2.1,2.1.5,Viewpoint beauty ,,
227,VRQ_1,The streets look beautiful,2,2.1.5,Viewpoint beauty ,?,
249,VRQ_4,Stunning views... I wish I could virtually travel all over the world,2.1,2.1.5,Viewpoint beauty ,,
254,VRQ_4,The tour view was nice to just sit back and watch,2.1,2.1.5,Viewpoint beauty ,,
264,VRQ_3,Beautiful views,2.1,2.1.5,Viewpoint beauty ,,
301,VRQ_2,Some of the scenes it showed were very pretty.,2.1,2.1.5,Viewpoint beauty ,,
302,VRQ_2,showed beauty of Dubai,2.1,2.1.5,Viewpoint beauty ,,
315,VRQ_2,Beautiful views,2.1,2.1.5,Viewpoint beauty ,,
363,VRQ_1,Very beautiful landing page,2.1,2.1.5,Viewpoint beauty ,,
386,VRQ_2,Beautiful camera views,2.1,2.1.5,Viewpoint beauty ,,
6,VRQ_2,the images were high quality,2.1,2.1.6,High-quality visuals,,
7,VRQ_2,Good quality of photos,2.1,2.1.6,High-quality visuals,,
8,VRQ_1,Nice photography,2.1,2.1.6,High-quality visuals,,
20,VRQ_1,The graphics are phenomenal,2.1,2.1.6,High-quality visuals,,
21,VRQ_1,The pictures were high quality,2.1,2.1.6,High-quality visuals,,
27,VRQ_4,picture looked really great,2.1,2.1.6,High-quality visuals,,
69,VRQ_2,High-quality graphics,2.2,2.1.6,High-quality visuals,,
74,VRQ_1,Nice images,2.1,2.1.6,High-quality visuals,,
86,VRQ_4,Good quality video.,2.2,2.1.6,High-quality visuals,,
90,VRQ_1,I loved the high quality photography,2.2,2.1.6,High-quality visuals,,
110,VRQ_1,High res images,2.2,2.1.6,High-quality visuals,,
113,VRQ_1,good quality image,2.2,2.1.6,High-quality visuals,,
116,VRQ_2,good graphics,2.1,2.1.6,High-quality visuals,,
121,VRQ_2,Good photos,2.1,2.1.6,High-quality visuals,,
122,VRQ_1,the video was high quality,2.2,2.1.6,High-quality visuals,,
169,VRQ_1,high quality photos,2.2,2.1.6,High-quality visuals,,
176,VRQ_2,the photos were of high quality,2.2,2.1.6,High-quality visuals,,
189,VRQ_6,"The picture quality is just stunningly beautiful. Wow, that water is incredible.",2.1,2.1.6,High-quality visuals,,
196,VRQ_5,There were quite hi-res photos taken of various places,2.2,2.1.6,High-quality visuals,,
197,VRQ_1,Excellent Images,2.1,2.1.6,High-quality visuals,,
198,VRQ_2,The shots used were nice,2.1,2.1.6,High-quality visuals,,
209,VRQ_1,high quality video,2.2,2.1.6,High-quality visuals,,
213,VRQ_1,The images were really high quality even when zoomed in,2.2,2.1.6,High-quality visuals,,
222,VRQ_1,High quality visuals,2.1,2.1.6,High-quality visuals,,
230,VRQ_2,The images are so crisp and seamless.,2.2,2.1.6,High-quality visuals,,
233,VRQ_5,Quality of pictures is great as well!,2.2,2.1.6,High-quality visuals,,
237,VRQ_2,great quality photos,2.2,2.1.6,High-quality visuals,,
248,VRQ_2,High quality graphics,2.2,2.1.6,High-quality visuals,,
312,VRQ_1,High Quality Graphics,2.2,2.1.6,High-quality visuals,,
314,VRQ_2,Good graphics,2.1,2.1.6,High-quality visuals,,
319,VRQ_3,Good video quality,2.2,2.1.6,High-quality visuals,,
321,VRQ_2,The quality of the images was high.,2.2,2.1.6,High-quality visuals,,
324,VRQ_1,Some of the images were nice looking,2.1,2.1.6,High-quality visuals,,
331,VRQ_2,I also enjoyed the picture quality.,2.2,2.1.6,High-quality visuals,,
363,VRQ_3,The quality of images was really good,2.2,2.1.6,High-quality visuals,,
380,VRQ_1,Quality of images was excellent,2.2,2.1.6,High-quality visuals,,
382,VRQ_2,high-quality images,2.2,2.1.6,High-quality visuals,,
388,VRQ_1,The video quality was very good.,2.2,2.1.6,High-quality visuals,,
195,VRQ_1,The high resolution images were impressive,2.2,2.1.7,High resolution,Impressive experience,
33,VRQ_1,good resolution,2.2,2.1.7,High resolution,,
177,VRQ_1,Very high resolution,2.2,2.1.7,High resolution,,
243,VRQ_1,Good resolution.,2.2,2.1.7,High resolution,,
263,VRQ_2,Crisp resolution,2.2,2.1.7,High resolution,,
322,VRQ_1,It was high resolution,2.2,2.1.7,High resolution,,
338,VRQ_2,great quality vr graphics,2.2,2.1.7,High resolution,,
351,VRQ_2,nice resolution,2.2,2.1.7,High resolution,,
358,VRQ_1,Very high def,2.3,2.1.7,High resolution,,
289,VRQ_1,Each destination was clearly marked in a way that I recognize.,2.1,2.1.8,Clearness,?,
2,VRQ_1,The images were clear,2.1/2.2,2.1.8,Clearness,,
12,VRQ_3,clear photos,2.1,2.1.8,Clearness,,
16,VRQ_3,the pictures where clear,2.1,2.1.8,Clearness,,
22,VRQ_1,It was very clear video,2.1,2.1.8,Clearness,,
24,VRQ_1,Very clear images,2.1,2.1.8,Clearness,,
31,VRQ_1,The images are crystal clear.,2.2,2.1.8,Clearness,,
32,VRQ_2,clear images,2.1,2.1.8,Clearness,,
