Unique Word,Comments
attractions,I think the website could better display on the home page picture of cool places
attractions,I think there couldve been better images shown to show just how cool dubai is
attractions,i wish it was a bit more interactive like google maps
attractions,Not as interactive to use with trackpad
attractions,The thumbnail photos arent great
attractions,Looks great at night
attractions,The feeling of being there when not
attractions,engaging
attractions,showing hotels
attractions,I didn't know youtube had this
attractions,I wish I could put myself in that location.
attractions,more water than I thought
attractions,loves seeing the burj khalifa
attractions,It's clear that a lot of work was put in the tourism in Dubai.
attractions,have to be in well planed area
attractions,Lengthy
attractions,How much does all this cost?
attractions,it's like google maps
attractions,The tour reminded me of Google street view
attractions,"It can make education more accessible, as it can be used to deliver lectures and classes to remote areas."
attractions,The same amount of time was spent in each location
attractions,gave options that were easy to navigate
attractions,I could feel some kind of satisfaction.
attractions,It gave me a good idea of how congested things were.
attractions,Expansive
attractions,It highlighted the diversity
attractions,Art lovers dream
attractions,landscape view
attractions,Nowadays this kind of technologies play a very important role for the society.
attractions,Modern
attractions,It’s accurate
attractions,Accurate
attractions,I wanted to be there
attractions,It was intuitive
attractions,engaging
attractions,It was like a doll house
attractions,Adequate
attractions,Current
attractions,Wasn't too long.
attractions,Scenery
attractions,I can see quite a bit.
attractions,Pedestrian
attractions,It mve
attractions,Where is everybody? Is this real or a virtual brochure?
attractions,functional
attractions,It can provide an effective way to conduct business meetings and conferences without having to travel.
attractions,"It is an excellent way to stay connected to family and friends, even if they are far away."
attractions,color
attractions,Vast
attractions,Making me want to cool
attractions,Possible
attractions,The future
attractions,smart
attractions,so much blue color
attractions,I like seeing foreign places
attractions,Free footage!
attractions,Descriptive
attractions,architecture
attractions,Info
attractions,Views
attractions,Skyscrapers
attractions,3 D Effect
attractions,Abundant
attractions,Taking a vacation
attractions,Rich
attractions,Oasis
attractions,personal view
attractions,Point of view perspective
attractions,The decor looks nice
attractions,its new and updated
attractions,I would love to visit
attractions,Maybe I could go here someday!
attractions,I'd like to explore this with my family.
attractions,Overall it made me more inspired to visit Dubai
attractions,Definitely a place I have to visit
attractions,I would like to visit
attractions,I really want to go and visit Dubai now
attractions,I would love to go
attractions,Wanting to visit the beach
attractions,Might create desire to visit places
attractions,I wish I had the money to go on a big vacation
destination,It is an incredible technology that allows you to visualize through a computer the destination you would like to visit.
destination,It looked like a nice destination
destination,Able to see a travel destination
destination,This way can help people decide whether to visit the destination or not.
destination,A definite plus in helping with finding a destination to visit.
destination,Quick overview of potential vacation destination
destination,it's convenient to see possible destination choices
destination,easy to click icons to go to a new destination
destination,Had a lot of different clickable spots in each destination
destination,Each destination was clearly marked in a way that I recognize.
destination,It felt like I was immersed into the destination
experiences,It can be used to create exciting virtual experiences that can be shared with friends and family.
experiences,"is an immersive technology, you immerse yourself in a sea of visual sensations and new experiences"
interesting,The shots were mostly of interesting places
interesting,I was able to view some interesting sites
interesting,I can look inside various locations to see if they are interesting to visit in person
interesting,interesting how the camera was moving  on the video
interesting,Interesting location photos
interesting,The images were interesting
interesting,interesting
interesting,interesting
interesting,How interesting!
interesting,interesting
interesting,Interesting
interesting,looks very interesting
interesting,Interesting
interesting,It's interesting.
interesting,interesting
interesting,Interesting virtual tour
interesting,Was interesting seeing the sights of dubai
interesting,It's interesting
interesting,Interesting
interesting,Interesting
interesting,It was interesting.
interesting,Interesting
interesting,Interesting
interesting,interesting
interesting,Interesting
interesting,The sites looked interesting
interesting,Its an interesting way to explore places you might never go
interesting,Interesting night life
interesting,the museum looked interesting
interesting,Interesting arc6
interesting,Interesting idea
information,The information on the sites was good
information,Active experience rather than just passive information.
information,This method of visiting can give you a lot of information
information,useful information
information,The tour was easy to use and provided good information
information,Information Guide
information,information and description were easy to access
information,I like the floating things to show information
information,"I like that each scene has an information tab that gives you information about what it is, like the reason why it was built."
information,i liked the information tab as it gave helpful information
information,I like that there are information spots
information,I liked the ability to click on icons for more information
information,The icons made it feel like I could select items to find out more information.
information,I enjoyed how there were tags to mark what type of location the place is and gives you the information.
information,Lots of information bubbles
information,You could click and zoom in on items you wanted more information on.
information,There was interesting information available
technology,Interactive technology
technology,I love technology!
technology,Great Technology
technology,It is amazing that this technology exists to give me this experience
technology,This is great technology
technology,I should use VCR technology more often for other purposes as well.
technology,Virtual reality is awesome I love this technology
technology,The technology is great
technology,Great technology
technology,The technology is helpful.
technology,I would use this technology in more places
technology,The technology offers a good introduction to the area.
technology,this technology could help people decide whether they want to go to the places shown in VR tours
technology,The technology was easy flowing.
technology,Cool technology
technology,technology makes environments look cool
technology,It is of great importance this type of technology because in the past this incredible resource was not available
technology,Technology
buildings,It was cool seeing the view from the top of the buildings
buildings,"I found the interiors interesting, it was fun to see inside buildings I'll never visit"
buildings,I really like how they show they inside lobbies of hotels and other buildings
buildings,Liked being able to see inside some buildings
buildings,Being able to see inside the buildings
buildings,I appreciate that the tour actually went into buildings.
buildings,love to see the street view of buildings
buildings,beautiful  buildings
buildings,The vast amount of beautiful buildings
buildings,The look into the buildings was very immersive I got a detailed look into the building and the art works it offered.
buildings,The buildings were amazing
buildings,Exploring the interiors of certain buildings was appealing
buildings,The buildings interiors are pretty
buildings,lovely buildings
buildings,look at those tall buildings!
buildings,You can watch people jumping off buildings!
beautiful,"A lot of sceneries and options, I can visited most beautiful spots"
beautiful,It's beautiful
beautiful,very beautiful view
beautiful,Beautiful!
beautiful,This was very beautiful
beautiful,Beautiful
beautiful,Beautiful
beautiful,How incredibly beautiful it looked
beautiful,Beautiful
beautiful,Very beautiful
beautiful,beautiful
beautiful,Beautiful
beautiful,Beautiful
beautiful,Its beautiful
beautiful,Beautiful
beautiful,beautiful
beautiful,This is beautiful
beautiful,Beautiful
beautiful,Beautiful
beautiful,Beautiful surrounding waters
beautiful,the vista was beautiful
beautiful,how beautiful it was at night
beautiful,The sites were beautiful
beautiful,The scenery was beautiful I liked the high view
beautiful,The streets look beautiful
beautiful,Beautiful views
beautiful,Beautiful views
beautiful,Very beautiful landing page
beautiful,Beautiful camera views
beautiful,"The picture quality is just stunningly beautiful. Wow, that water is incredible."
beautiful,Beautiful place
beautiful,The city looked beautiful.
beautiful,I captured the beautiful waters and scenery.
beautiful,The place is beautiful.
beautiful,this is such an amazing beautiful place
beautiful,Very beautiful scenery
beautiful,Beautiful coast
beautiful,Beautiful architecture
beautiful,The water was beautiful
beautiful,Beautiful scenery
beautiful,The water was beautiful.
beautiful,"What a beautiful, vibrant city."
beautiful,The city was beautiful at night
beautiful,The landscapes on the virtual tour were beautiful.
beautiful,beautiful weather
beautiful,the ocean is beautiful
beautiful,Beautiful scenery
beautiful,the places were beautiful
beautiful,Beautiful sights
beautiful,Beautiful tropical scenery
beautiful,Beautiful at night
different,Showed different parts
different,Provided many different types of locations
different,It showed different locations
different,It showed a variety of different places
different,It showed several different destinations in Dubai
different,I liked that I could look at a lot of different things.
different,See a different part of the world
different,it could be helpful for showing people who can’t afford long distance travel different places in the world
different,Lots of different locations
different,I can get a good sense of where different locations are
different,It's flexible and adaptable. Everyone will have a different viewing experience that suits their needs.
different,I think this looks polished and I like being able to switch between so many different viewpoints. as well as suggested locations
different,Many different options to explore dubai
different,Different times of day were good too.
different,I like that the buttons highlighted so many different landmarks
different,It's cool that I can click on different spots.
different,glad it had clickable icons to see different kinds of places
different,Clear labels for different locations.
different,I liked the time lapse video of the city showing it at different times of the day
different,I thought the different viewing options where amazing!!
different,I can see things from a different perspective than I could in person
different,I like the different view options. The little planet view was very interesting.
different,A lot of options for different viewing modes
different,Different views were helpful.
different,I liked that it showed different attraction points.
different,it gives you different perspectives of each spot
different,You could probably visit the tour multiple times and get a completely different experience.
different,In this way s can attract more tourists as they can visualize the landscapes of the different places in the world.
different,Different cultures are there that differ greatly from my own.
different,I wish I had more ability to see different things
immersive,the panoramic view was immersive
immersive,I felt it could be more immersive as well
immersive,It is immersive
immersive,it panned through the scenes at a good pace to make it more immersive
immersive,Immersive
immersive,Immersive experience
immersive,immersive
immersive,Immersive
immersive,The experience feels immersive.
immersive,immersive
immersive,"It can provide an immersive experience for gaming, allowing players to interact with their favorite characters and worlds."
immersive,immersive
immersive,Immersive
immersive,It’s immersive
immersive,Immersive
immersive,I think this technology could feel immersive under the right circumstances
